StateFIPS,State,Year,Number of people by Demographic,Race Ethnicity
27,Minnesota,2019,"399,280",Black including Hispanic
27,Minnesota,2019,"148,555",Other including Hispanic
27,Minnesota,2019,"76,985",American Indian/Alaskan Native including Hispanic
27,Minnesota,2019,"315,863",Hispanic All Races
27,Minnesota,2019,"925,503",All Non-White Races including Hispanic
27,Minnesota,2020,"4,751,407",White including Hispanic
27,Minnesota,2020,"414,684",Black including Hispanic
27,Minnesota,2020,"154,100",Other including Hispanic
27,Minnesota,2020,"78,629",American Indian/Alaskan Native including Hispanic
27,Minnesota,2020,"327,426",Hispanic All Races
27,Minnesota,2020,"955,758",All Non-White Races including Hispanic
28,Mississippi,2018,"1,762,656",White including Hispanic
28,Mississippi,2018,"1,128,789",Black including Hispanic
28,Mississippi,2018,"38,828",Other including Hispanic
28,Mississippi,2018,"18,300",American Indian/Alaskan Native including Hispanic
28,Mississippi,2018,"97,966",Hispanic All Races
28,Mississippi,2018,"1,220,223",All Non-White Races including Hispanic
28,Mississippi,2019,"1,757,730",White including Hispanic
28,Mississippi,2019,"1,127,317",Black including Hispanic
28,Mississippi,2019,"39,922",Other including Hispanic
28,Mississippi,2019,"18,507",American Indian/Alaskan Native including Hispanic
28,Mississippi,2019,"99,492",Hispanic All Races
28,Mississippi,2019,"1,220,497",All Non-White Races including Hispanic
28,Mississippi,2020,"1,740,027",White including Hispanic
28,Mississippi,2020,"1,122,302",Black including Hispanic
28,Mississippi,2020,"40,999",Other including Hispanic
28,Mississippi,2020,"18,631",American Indian/Alaskan Native including Hispanic
28,Mississippi,2020,"100,530",Hispanic All Races
28,Mississippi,2020,"1,216,843",All Non-White Races including Hispanic
29,Missouri,2018,"5,082,043",White including Hispanic
29,Missouri,2018,"724,435",Black including Hispanic
29,Missouri,2018,"144,992",Other including Hispanic
29,Missouri,2018,"35,147",American Indian/Alaskan Native including Hispanic
29,Missouri,2018,"262,910",Hispanic All Races
29,Missouri,2018,"1,043,943",All Non-White Races including Hispanic
29,Missouri,2019,"5,086,254",White including Hispanic
29,Missouri,2019,"725,728",Black including Hispanic
29,Missouri,2019,"148,676",Other including Hispanic
29,Missouri,2019,"35,899",American Indian/Alaskan Native including Hispanic
29,Missouri,2019,"269,836",Hispanic All Races
29,Missouri,2019,"1,054,221",All Non-White Races including Hispanic
29,Missouri,2020,"5,089,340",White including Hispanic
29,Missouri,2020,"727,560",Black including Hispanic
29,Missouri,2020,"153,813",Other including Hispanic
29,Missouri,2020,"36,678",American Indian/Alaskan Native including Hispanic
29,Missouri,2020,"278,528",Hispanic All Races
29,Missouri,2020,"1,065,141",All Non-White Races including Hispanic
30,Montana,2018,"945,167",White including Hispanic
30,Montana,2018,"6,210",Black including Hispanic
30,Montana,2018,"29,296",Other including Hispanic
30,Montana,2018,"70,468",American Indian/Alaskan Native including Hispanic
30,Montana,2018,"42,313",Hispanic All Races
30,Montana,2018,"116,651",All Non-White Races including Hispanic
30,Montana,2019,"951,496",White including Hispanic
30,Montana,2019,"6,360",Black including Hispanic
30,Montana,2019,"30,270",Other including Hispanic
30,Montana,2019,"70,674",American Indian/Alaskan Native including Hispanic
30,Montana,2019,"43,494",Hispanic All Races
30,Montana,2019,"118,627",All Non-White Races including Hispanic
30,Montana,2020,"964,391",White including Hispanic
30,Montana,2020,"6,559",Black including Hispanic
30,Montana,2020,"31,498",Other including Hispanic
30,Montana,2020,"72,110",American Indian/Alaskan Native including Hispanic
30,Montana,2020,"45,577",Hispanic All Races
30,Montana,2020,"121,802",All Non-White Races including Hispanic
31,Nebraska,2018,"1,697,961",White including Hispanic
31,Nebraska,2018,"99,602",Black including Hispanic
31,Nebraska,2018,"43,683",Other including Hispanic
31,Nebraska,2018,"29,997",American Indian/Alaskan Native including Hispanic
31,Nebraska,2018,"215,879",Hispanic All Races
31,Nebraska,2018,"227,551",All Non-White Races including Hispanic
31,Nebraska,2019,"1,700,827",White including Hispanic
31,Nebraska,2019,"101,015",Black including Hispanic
31,Nebraska,2019,"44,977",Other including Hispanic
31,Nebraska,2019,"30,507",American Indian/Alaskan Native including Hispanic
31,Nebraska,2019,"221,125",Hispanic All Races
31,Nebraska,2019,"231,744",All Non-White Races including Hispanic
31,Nebraska,2020,"1,722,615",White including Hispanic
31,Nebraska,2020,"104,007",Black including Hispanic
31,Nebraska,2020,"46,792",Other including Hispanic
31,Nebraska,2020,"31,457",American Indian/Alaskan Native including Hispanic
31,Nebraska,2020,"230,284",Hispanic All Races
31,Nebraska,2020,"238,840",All Non-White Races including Hispanic
32,Nevada,2018,"2,246,756",White including Hispanic
32,Nevada,2018,"307,761",Black including Hispanic
32,Nevada,2018,"138,081",Other including Hispanic
32,Nevada,2018,"50,723",American Indian/Alaskan Native including Hispanic
32,Nevada,2018,"875,341",Hispanic All Races
32,Nevada,2018,"783,969",All Non-White Races including Hispanic
32,Nevada,2019,"2,276,023",White including Hispanic
32,Nevada,2019,"319,249",Black including Hispanic
32,Nevada,2019,"145,008",Other including Hispanic
